ID Polygon,Musigma,X1,Y1,Z1,Y2,Z2,X2,X3,Y3,Z3
220,0.0,110.5158642759,31,-1.20457e-05,31.181050305,-1.20811e-05,110.506764808,110.4537389307,31.1724370855,-1.20765e-05
221,0.0,110.5526825668,31,-1.20513e-05,31.1870198376,-1.20858e-05,110.5435999065,110.4909102162,31.1784774242,-1.20793e-05
222,5.7260890007,110.5892731089,31,-1.2055e-05,31.192941277,-1.20904e-05,110.5802071443,110.5278448099,31.1844679305,-1.2083e-05
223,8.2421331406,110.6256417777,31,-1.20588e-05,31.1988157806,-1.20951e-05,110.6165924004,110.5645489491,31.1904098326,-1.20876e-05
224,7.4077663422,110.6617942152,31,-1.20625e-05,31.20464446,-1.20979e-05,110.6527613197,110.6010286169,31.1963043088,-1.20914e-05
225,4.5822691917,110.6977358418,31,-1.20681e-05,31.2104283831,-1.21025e-05,110.6887193255,110.6372895569,31.2021524901,-1.2096e-05
226,4.5822691917,110.7334718686,31,-1.20699e-05,31.2161685766,-1.21053e-05,110.7244716317,110.6733372859,31.2079554626,-1.20997e-05
227,15.8847417831,110.7690073083,31,-1.20746e-05,31.221866028,-1.21081e-05,110.7600232536,110.7091771062,31.2137142705,-1.21035e-05
228,4.5822691917,110.8043469854,31,-1.20802e-05,31.2275216879,-1.21146e-05,110.7953790183,110.7448141169,31.2194299178,-1.21072e-05
229,6.9932293892,110.8394955458,31,-1.2083e-05,31.2331364714,-1.21174e-05,110.8305435743,110.7802532244,31.2251033707,-1.21128e-05
230,5.2336182594,110.8512807976,31,-1.20876e-05,31.2350168015,-1.21184e-05,110.8423341882,110.8154991527,31.2307355593,-1.21156e-05
