Point,Musigma,velocity,Coherence,Hcorr,range,azimuth,X,Y,Z
42,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
43,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
44,12.8257799149,0.7834396362,0.580042541,-3.0659790039,3600.0,1534.0,110.6506278343,30.71461836,847.3050987404
45,4.27566576,-0.0,0.9734076858,0.0,4720.0,1407.0,110.6832552428,30.7036280533,1169.8181769811
46,4.27566576,-0.0,0.9734076858,0.0,4720.0,1407.0,110.6832552428,30.7036280533,1169.8181769811
47,6.8049736023,-1.2841796875,0.5983221531,1.8983078003,7872.0,1528.0,110.7443140574,30.7290681396,962.826830986
48,11.5504608154,-2.1349525452,0.5874975324,-1.2942352295,8213.0,1631.0,110.7442157959,30.7422686647,661.5955064464
49,4.5995707512,4.6711959839,0.7204669118,-2.9114990234,8890.0,1423.0,110.765447338,30.7190260422,738.9654945144
50,4.7984585762,2.9005584717,0.6598671079,2.9590377808,9358.0,1489.0,110.7728599927,30.7286926232,690.3683866514
51,6.545645237,0.0,0.9883660674,0.0,11831.0,1090.0,110.8352942439,30.6876151741,647.8042173916
52,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
53,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
54,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
55,3.5979018211,3.1115112305,0.3686677814,-1.049621582,4005.0,1649.0,110.6582519331,30.7306148674,976.9212293746
56,4.27566576,-0.0,0.9734076858,0.0,4720.0,1407.0,110.6832552428,30.7036280533,1169.8181769811
57,4.27566576,-0.0,0.9734076858,0.0,4720.0,1407.0,110.6832552428,30.7036280533,1169.8181769811
58,6.8049736023,-1.2841796875,0.5983221531,1.8983078003,7872.0,1528.0,110.7443140574,30.7290681396,962.826830986
59,11.5504608154,-2.1349525452,0.5874975324,-1.2942352295,8213.0,1631.0,110.7442157959,30.7422686647,661.5955064464
60,11.5504608154,-2.1349525452,0.5874975324,-1.2942352295,8213.0,1631.0,110.7442157959,30.7422686647,661.5955064464
61,5.4265789986,2.822353363,0.7478570342,-2.8746490479,9123.0,1525.0,110.7656060295,30.732137001,605.0263848258
62,4.1581344604,0.5317621827,0.9411842227,1.3997352123,10344.0,1834.0,110.7814010865,30.7743267701,491.348589221
63,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
64,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
65,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
66,7.2174911499,0.0694461167,0.9576966166,9.6304645538,3365.0,2038.0,110.630205623,30.775970011,747.3760956926
67,7.2174911499,0.0694461167,0.9576966166,9.6304645538,3365.0,2038.0,110.630205623,30.775970011,747.3760956926
68,7.2174911499,0.0694461167,0.9576966166,9.6304645538,3365.0,2038.0,110.630205623,30.775970011,747.3760956926
69,8.0612630844,-2.0247459412,0.5411327481,0.9769744873,7945.0,1639.0,110.7387934345,30.7424157532,695.1822314207
70,5.6327309608,0.0655146092,0.9223536253,2.1812827587,10275.0,1871.0,110.7804586722,30.778918648,592.8606628077
71,5.6327309608,0.0655146092,0.9223536253,2.1812827587,10275.0,1871.0,110.7804586722,30.778918648,592.8606628077
72,5.6327309608,0.0655146092,0.9223536253,2.1812827587,10275.0,1871.0,110.7804586722,30.778918648,592.8606628077
73,5.0696105957,0.2008257359,0.9811604023,-2.3010246754,10331.0,1833.0,110.7812583227,30.7741753513,498.3702948419
74,3.4205436707,0.5562316775,0.524445951,3.4132978916,11726.0,1618.0,110.8159471569,30.7522058765,457.541759314
75,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
76,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
77,5.1103034019,-0.167528972,0.981226325,-7.4790387154,4201.0,2140.0,110.6438374161,30.7912779001,638.4577019121
78,5.1323199272,-0.2769245803,0.9816103578,7.9529204369,3402.0,2035.0,110.6308177773,30.7756849021,729.846017288
